ITEM,EMISSIONS_FACTOR
lenovo ideapad 110-15acl,269.437
lenovo ideapad 110-15ibr,41.760
lenovo ideapad 110-17,99.361
lenovo ideapad 120s-11,46.619
lenovo ideapad 130-14,111.762
lenovo ideapad 130-15 amd,156.903
lenovo ideapad 130-15 intel,86.449
lenovo ideapad 310 touch-15isk,36.145
lenovo ideapad 310-14isk,171.108
lenovo ideapad 310-15isk,78.676
lenovo ideapad 310s-15ikb,99.916
lenovo ideapad 320-14,96.377
lenovo ideapad 320-15/320-15 touch/520-15,222.474
lenovo ideapad 320-17,98.329
lenovo ideapad 320s-13,157.329
lenovo ideapad 320s-14,165.329
lenovo ideapad 330-14,90.005
"lenovo ideapad 330-15/b330-15 81dc, 81fd, 81dh, 81de, 81fe, 81dj,",43.077
lenovo ideapad 330-17,180.025
lenovo ideapad 330s-14,97.247
lenovo ideapad 330s-15,97.677
lenovo ideapad 510-15isk,203.308
lenovo ideapad 510s-13ikb,233.758
lenovo ideapad 510s-14isk,79.461
lenovo ideapad 520-15,152.193
lenovo ideapad 520s-14,135.409
lenovo ideapad 530s-14,107.300
lenovo ideapad 530s-14/xiaoxin air 14,127.588
lenovo ideapad 530s-15,107.663
lenovo ideapad 700-17isk,11.702
lenovo ideapad 710s plus-13,65.162
lenovo ideapad 720-15,124.647
lenovo ideapad 720s-13,56.656
lenovo ideapad 720s-13/720s-13 touch,69.648
lenovo ideapad 720s-14,37.624
lenovo ideapad 720s-15/720s-15 touch/v730-15,43.023
lenovo ideapad miix 310-10icr,25.433
lenovo ideapad miix 510-12isk lte,44.245
lenovo ideapad miix 700-Â¬â‰ 12isk,204.359
lenovo ideapad s130-14,97.628
lenovo ideapad s530-13,13.223
lenovo ideapad v530s-14,28.502
microsoft surface laptop 2,7.073
"microsoft surface laptop 3 13.5-inch display, alcantra palm rest",82.482
microsoft xbox one x,292.945
microsoft xbox one s,286.899
microsoft surface pro x,54.636
microsoft surface pro 8,36.616
microsoft surface pro 6,4.630
microsoft surface pro (5 gen),47.016
microsoft surface laptop se,66.368
microsoft surface laptop go,63.207
"microsoft surface laptop 4 15-inch display, metal palm rest",150.771
"microsoft surface laptop 4 13.5-inch display, alcantara palm rest",14.654
"microsoft surface laptop 4 13.5-inch display, metal palm rest",95.787
"microsoft surface laptop 3 15-inch display, metal palm rest",39.282
"microsoft surface laptop 3 13-inch display, metal palm rest",80.700
"microsoft surface laptop 3 15-inch display, alcantara palm rest",121.374
"microsoft surface laptop 3 13.5-inch display, metal palm rest",52.049
microsoft surface laptop,101.008
microsoft surface hub 2s 50-inch display,277.952
microsoft surface go 3,43.994
microsoft surface go,46.881
microsoft surface duo 2,16.413
microsoft surface book 3,19.117
microsoft surface book 3 13.5-inch display,219.899
microsoft surface book 2 15-inch display,270.392
microsoft surface go 2,61.686
microsoft surface studio 2,259.958
microsoft surface studio,37.841
microsoft surface laptop studio,103.552
microsoft surface pro 7,16.178
microsoft surface duo,30.824
Laptop Battery,1.968
368g lithium ion computer battery,3.186
Huawei P10,15.330
Huawei nova 2 Plus,17.976
Huawei Mate 20 Pro,15.819
Huawei Mate 9,30.397
Huawei Honor 10,48.554
Huawei Y7,4.408
Huawei Mate 40 Pro+,35.779
HUAWEI Y9 2018,11.199
Huawei P30,13.232
Huawei P smart,14.597
HUAWEI P smart 2019,2.762
Huawei P8 lite 2017,18.289
Huawei P20 Pro,29.324
Huawei Nova 2,5.636
Huawei Mate RS,12.399
Huawei P40,17.805
Huawei Y5 2019,28.602
Huawei P10 lite,5.280
Huawei P40 lite 6GB+128GB,49.898
Huawei P9,58.704
Huawei P40 Pro+,62.355
Huawei Mate 40,36.567
Huawei nova plus,24.540
Huawei Mate 20,28.639
Huawei Mate20X,58.585
Huawei Mate 10 Pro,31.371
Huawei P30 Pro,42.208
Huawei P10 Plus,42.622
HUAWEI Y5 Prime 2018,45.954
Honor 6X,13.799
Honor 5C,10.442
Huawei Y6II,44.314
HUAWEI Y7p,19.007
Huawei Nova,14.916
Huawei Mate 30 Pro,68.018
Huawei P9 Plus,66.481
Huawei P40 Pro,39.208
HUAWEI nova 5T,18.036
HUAWEI Y6 2018,31.901
Huawei P smart +,42.890
Huawei Mate40 Pro,4.316
Huawei Y7 2019,7.036
Huawei Y6 2019,39.569
Huawei Mate9 Pro,35.563
Huawei P9 lite,11.754
Huawei P20 lite,8.219
Huawei P30 lite,51.891
Huawei honor 8 lite,8.183
Huawei P20,20.218
HUAWEI Y6 Prime 2018,22.705
Huawei P50 Pro,62.470
BlackBerry Passport,7.270
BlackBerry Classic,6.947
BlackBerry Bold 9900,9.419
BlackBerry Z10,1.692
BlackBerry Priv,0.515
Apple Studio Display,10.870
Apple Pro Display XDR,217.349
Logitech G Pro wireless gaming mouse,2.355
Logitech G502 Hero gaming mouse,4.925
Logitech G102 LightSync gaming mouse,1.378
Logitech G304 Lightspeed gaming mouse,0.626
Logitech G502 Lightspeed gaming mouse,7.734
Logitech M185 Wireless Mouse,1.614
generic battery,7.004
Microwave,46.772
Refrigerator,191.241
01 IT 09 EG SF (1m),1.816
1GB DDR3,2.873
2-Drawer Metal Cabinet,69.346
2GB DDR3,1.666
3M Laminating System,1.750
4GB LPDDR3,2.405
A4 Paper,0.730
Acco Paper Clip,1.441
ACTASSI CL-MXC6A - F/FTP 4P LSZH (1000m reel),6.633
original tesco 5 in 1 dishwasher tablets,4.898
lemon - tesco 5 in 1 dishwasher tablets,19.182
value dishwasher tablets 30s,14.390
biological - 24 pack tablets,0.801
non-bio - 24 pack tablets,1.151
antibacterial washing up lime & ginger 500 ml,21.781
antibacterial washing up liquid lavender 500 ml,21.908
antibacterial handwash 500 ml,0.150
moisturising antibacterial handwash refreshing 250 ml,0.012
moisturising antibacterial handwash caring 250 ml,0.234
antibacterial handwash refill 500 ml,1.879
pure antibacterial handwash 250 ml,1.530
std washing up liquid lemon 500 ml,10.971
washing up liquid lemon 500 ml,18.887
washing up liquid original 500 ml,20.213
Air Purifier,14.544
pure moisturising bath cream 400 ml,20.935
mind & body moisture care bath 750 ml,10.691
mind & body moisture shower 250 ml,0.782
pure moisturising bodywash 250 ml,1.391
Alkyd,1.075
pure moisturising handwash 250 ml,0.134
moisture enriching apd pearl soft 150 ml,0.351
pure relaxing bath cream 400 ml,4.348
all about body sensitive roll on 50 ml,0.655
magnolia & silk shower creme 300 ml,0.761
magnolia & silk shower creme 500 ml,1.907
all about men 24 hour roll on 50 ml,1.202
handwash magnolia 500 ml,0.465
aloe vera (125g),0.169
APC SMART UPS SRT3000VA RM 230V,#DIV/0!
lilac & silk shower creme 300 ml,1.465
honeysuckle & silk handwash 500 ml,2.703
"APC Smart-UPS On-Line, 2200VA, Lithium-ion, Rackmount 3U, 230V, 6x C13+2x C19 IEC outlets, SmartSlot, Extended runtime, W/ rail kit",62.885
Apron,1.632
Arm Chair,8.226
Automotive Conveyor,#DIV/0!
Benches,1.211
biological - 1.5 l liquid,0.581
biological - 10 pack,1.824
biological - 2.4kg,0.815
mind & body stress release bath 750 ml,2.538
mind & body muscle ease bath 750 ml,23.199
mind & body sleep therapy bath 750 ml,9.622
mind & body mens shower 250 ml,2.774
mind & body nourish shower 250 ml,0.953
mind & body energise shower 250 ml,1.211
mind & body refresh shower 250 ml,2.486
wake up coconut & mango shower creme 250 ml,0.951
pure refreshing shower gel 250 ml,0.852
wake up pomegranate shower creme 250 ml,0.503
wake up tea tree & mint shower creme 250 ml,0.770
sea minerals shower gel 300 ml,3.018
herbal extracts shower gel 300 ml,0.637
sea minerals shower gel 500 ml,0.413
all about body hydrating bodywash 300 ml,2.762
all about body softening bodywash 300 ml,1.192
body reactive 24hr cotton pad 250 ml,1.144
value shower gel 300 ml,1.028
honeysuckle/silk shower creme 300 ml,0.037
biological - 20 pack,2.018
biological - 24 pack,0.271
biological - 3.36 kg,0.969
biological - 4.0 kg,0.859
biological - 48 pack,1.489
biological - 730ml conc.,0.627
value antibacterial handwash 500 ml,0.550
moisturising antibacterial handwash soothing 250 ml,1.006
lilac handwash 500 ml,1.504
smoothly softening handwash 300 ml,1.615
richly replenishing handwash 300 ml,0.930
naturally protecting handwash 300 ml,0.132
value cream handwash 500 ml,1.503
apd for men 200 ml,0.411
apd sensitive 200 ml,1.129
body reactive 24hr soft velvet apd 250 ml,1.908
biological - 800g,3.525
24hr for men apd 250 ml,0.707
clear for men apd 250 ml,0.798
body reactive clear apd 250 ml,0.055
value deodorant 200 ml,0.643
Boardroom Table,17.227
body reactive 24hr cotton roll on 50 ml,1.970
body reactive 24hr for men roll on 50 ml,0.317
body reactive 24hr soft velvet roll on 50 ml,1.895
Brix ultra compact PC,75.335
Business Card,1.247
"Business Source 1/2"" Head Push Pins",0.276
Cabinet,1.959
Packaging Scotch Tape,1.382
PVC Embossed Tape,2.335
Card,0.223
Casio Super Slim Projector XJ-S30,2.177
Casio Super Slim Projector XJ-S35,6.304
Castors,#DIV/0!
Chain Conveyor,#DIV/0!
Charger,#DIV/0!
Chemical Disinfectant,#DIV/0!
Clipboard,2.781
colour - 10 pack,3.111
colour - 2.4kg,2.819
colour - 20 pack,2.150
colour - 24 pack,0.664
colour - 3.36 kg,0.685
colour - 4.0 kg,0.297
colour - 48 pack,0.784
colour - 730ml conc.,3.294
colour - 800g,1.273
Commercial Air Conditioner (Daikin),402.352
cornflower/silk creme bath 1 litre,26.304
Correction Tape,0.989
Cup Fit FFP respirator,1.464
CXO Tables,34.064
"Deflecto Multi-Compartment DocuHolder - 6.8"" x 10"" x 6.3"" - Clear - 1/EA",2.251
Desk,26.963
Desk high pedestal,16.554
Dock Board,#DIV/0!
Dock Bumpers,#DIV/0!
Dock levelers,#DIV/0!
Dock lifts,#DIV/0!
Dock Seals,#DIV/0!
Dock Shelters,#DIV/0!
Dollies,#DIV/0!
drawstring bin liners - 15 pack,0.156
drawstring bin liners - 30 pack,0.239
drawstring refuse sacks - 10 pack,1.067
drawstring refuse sacks - 20 pack,1.601
Duckbill FFP respirators,1.025
Dymo LabelManager 280P,2.628
Dymo LabelManager 500TS Label Maker,2.913
Edge of Dock Leveler,#DIV/0!
evening primrose (125g),1.790
extra large tie-top recycled refuse sack,0.143
fabric conditioner blue 4 ltr,2.434
fabric conditioner pure 2 ltr,0.025
Face Shield,1.436
Fellowes AutoMax 150C Hands Free Paper Shredder,53.946
Fellowes AutoMax 200C Auto Feed Shredder,64.982
Fellowes AutoMax 200M Auto Feed Shredder,80.457
Fellowes Powershred 225Ci 100% Jam Proof Cross-Cut Shredder,134.265
Flexible Conveyor,#DIV/0!
Forklifts,#DIV/0!
Furniture,22.018
Glass Board,0.780
Glove,0.155
Gown,0.958
Gravity roller Conveyor,#DIV/0!
Hand Trucks,55.430
Headline Handicap Symbol Sign,15.027
Headset,17.569
heavy duty drawstring recycled refuse sack,0.947
herbal extracts foam bath 1 litre,15.852
Hoists,#DIV/0!
Hole Puncher,1.288
Home Hub 2.0,19.781
Home Hub 3.0,24.917
Industrial Scales,#DIV/0!
Insulated Two-Drawer Vertical File,45.076
Workstation,23.152
Knee pad,6.738
brother hl-l8260cdw,11.399
brother hl-l8360cdw,147.567
brother hl-l8360cdwt,84.522
brother hl-l2350dw,8.433
brother hl-l2370dw,2.765
brother dcp-l5500dn,10.647
brother dcp-l5600dn,95.275
brother hl-l3210cw,91.806
brother hl-l3230cdw,113.057
brother hl-l3270cdw us,13.671
brother hl-l6300dw,45.598
brother hl-l6400dw,70.515
brother hl-l6400dwt,13.678
brother hl-l6400dwg,12.501
brother hl-l5000d,92.558
brother hl-l5200dw,3.906
brother dcp-j525n,44.597
brother dcp-j925n,23.228
brother hl-2130,7.104
brother dcp-j725n,4.932
brother hl-5440d,69.140
brother hl-5450dn,46.978
brother hl-6180dw,32.758
brother dcp-j540n,53.034
brother dcp-j740n,11.541
brother dcp-j940n-b,2.574
brother dcp-j940n-w,28.906
brother dcp-j940n-eco,23.725
brother dcp-j4210n,46.443
brother hl-l5100dn,48.752
brother hl-l9310cdw,148.546
brother hl-l2370dwxl,48.384
brother hl-l2390dw,72.337
brother hl-l2395dw,71.996
brother dcp-l2550dw,38.195
brother hl-l5200dwt,69.222
brother hl-l3290cdw us,18.680
brother hl-l6200dw,12.460
brother hl-l6200dwt,77.466
brother hl-l6250dw,41.646
brother dcp-l5650dn,70.766
brother hl-3040cn,54.025
brother dcp-9010cn,130.830
brother dcp-j515n,32.200
brother dcp-j715n,2.077
brother hl-2240d,6.003
brother hl-2270dw,6.829
brother hl-4570cdw,95.226
brother hl-4570cdwt,139.242
brother dcp-7060d,17.439
brother dcp-7065dn,0.856
konica minolta bizhub c3110,69.886
konica minolta bizhub c287,206.962
konica minolta bizhub c227,119.060
konica minolta bizhub c368,188.792
konica minolta bizhub c308,214.064
konica minolta bizhub c258,235.952
konica minolta bizhub c658,500.139
konica minolta bizhub c558,277.637
konica minolta bizhub c458,518.572
konica minolta bizhub 368,228.455
konica minolta bizhub 368e,211.715
konica minolta bizhub 558,352.898
konica minolta bizhub 558e,186.193
konica minolta bizhub 458,347.872
konica minolta bizhub 458e,180.407
konica minolta bizhub c759,548.931
konica minolta bizhub c754,522.548
konica minolta bizhub c3350i,117.980
konica minolta bizhub c654,765.374
konica minolta bizhub c554,475.028
konica minolta bizhub c454,276.794
konica minolta bizhub c364,493.431
konica minolta bizhub c284,269.085
konica minolta bizhub c224,136.415
konica minolta bizhub c554e,386.627
konica minolta bizhub 554e,97.996
konica minolta bizhub 454e,106.106
konica minolta bizhub c3850,152.164
konica minolta bizhub 36,126.736
konica minolta bizhub press 1250,683.911
konica minolta bizhub press 1052,1858.044
konica minolta bizhub c3100p,82.558
konica minolta bizhub press 2550p,2011.350
konica minolta bizhub pro 110,186.564
konica minolta bizhub 758,718.699
konica minolta accuriopress c2070,975.820
konica minolta accuriopress c2070p,1570.088
konica minolta accuriopress c2060,455.743
konica minolta bizhub 308,268.212
konica minolta accuriopressc6100,525.026
konica minolta accuriopressc6085,2054.728
konica minolta bizhub c3851,153.813
konica minolta bizhub c659,843.269
konica minolta 17-855,23.233
konica minolta 17-856,191.421
konica minolta accuriopress c83hc,946.001
konica minolta accuriopress 6136,1200.814
konica minolta accuriopress 6136p,1271.219
konica minolta accuriopress 6120,1133.248
konica minolta bizhub 658e,85.256
konica minolta bizhub 308e,306.184
konica minolta accuriopress c3080,476.848
konica minolta accuriopress c3070,1241.155
konica minolta accuriopress c3080p,372.995
konica minolta accurioprint c3070l,1043.747
konica minolta bizhub 360i,139.166
konica minolta bizhub c300i,316.571
konica minolta bizhub c250i,412.465
konica minolta bizhub c4050i,129.547
konica minolta bizhub c4000i,67.962
konica minolta bizhub c3220i,107.243
konica minolta bizhub c650i,43.085
konica minolta bizhub c550i,345.328
konica minolta bizhub c450i,418.482
konica minolta bizhub c330i,112.848
konica minolta accuriopress c14000,3202.225
konica minolta accuriopress c12000,1026.566
konica minolta bizhub pro 951,1403.267
konica minolta bizhub press 1250p,1583.775
konica minolta bizhub press c1070,1572.217
konica minolta bizhub press c1060,169.513
konica minolta bizhub c224e,443.675
konica minolta bizhub c284e,194.884
konica minolta bizhub c364e,238.914
konica minolta bizhub c454e,483.817
konica minolta bizhub c754e,811.360
konica minolta bizhub c654e,505.740
konica minolta bizhub 364e,203.684
konica minolta bizhub 284e,371.510
konica minolta bizhub 224e,481.678
konica minolta bizhub 754e,571.241
konica minolta bizhub 654e,219.702
kyocera taskalfa 2551ci,496.727
kyocera taskalfa 6501i,437.113
kyocera taskalfa 7551ci,651.839
kyocera ecosys p6030cdn,115.067
kyocera ecosys p6035,19.536
kyocera ecosys p6021cdn,22.209
kyocera ecosys p6026cdn,120.295
kyocera ecosys m2035d,93.335
kyocera ecosys m2030,58.318
kyocera ecosys m2535d,144.860
kyocera ecosys p2135d,65.307
kyocera ecosys p2135dn,51.142
kyocera ecosys p7035cdn,197.119
kyocera ecosys m6526cdn,53.770
kyocera ecosys m6526cidn,90.564
kyocera ecosys m3540idn,85.779
kyocera ecosys m3550idn,121.401
kyocera ecosys m6030,163.452
kyocera ecosys m6035,153.843
kyocera ecosys m6535,143.070
kyocera ecosys p6130,135.696
kyocera taskalfa 306ci,75.036
kyocera taskalfa 356ci,163.753
kyocera taskalfa 406ci,111.716
kyocera taskalfa 5052ci,423.101
kyocera taskalfa 4052ci,302.556
kyocera taskalfa 3552ci,317.457
kyocera taskalfa 6002i,259.592
kyocera taskalfa 5002i,239.678
kyocera taskalfa 4002i,128.141
kyocera ecosys p5026,120.196
kyocera ecosys p2235,53.016
kyocera ecosys p2040,16.497
kyocera ecosys m2635,104.786
kyocera ecosys m2040,117.136
kyocera ecosys m2540,107.009
kyocera taskalfa 7052ci,434.065
kyocera taskalfa 8052ci,43.687
kyocera ecosys p8060,620.390
kyocera ecosys m6235,86.727
kyocera ecosys m6630,40.359
kyocera ecosys m6635,110.007
kyocera ecosys p6230,112.615
kyocera ecosys p6235,8.457
kyocera ecosys p7240,147.136
kyocera ecosys m3145,100.525
kyocera ecosys m3645,67.081
kyocera ecosys m3655,93.289
kyocera ecosys m4125,282.106
kyocera ecosys m4132,95.567
kyocera ecosys m8124,54.846
kyocera ecosys m8130,71.903
kyocera taskalfa 6053,99.519
kyocera taskalfa 5053,190.832
kyocera taskalfa 4053,85.589
kyocera taskalfa 3553,305.886
kyocera taskalfa 3253ci,138.040
kyocera taskalfa 5003i,230.571
kyocera ecosys p3145,46.488
kyocera ecosys p3150,129.802
kyocera ecosys p3155,71.743
kyocera ecosys p3260,137.212
kyocera ecosys m3860,126.877
kyocera taskalfa 7353ci,316.256
kyocera taskalfa 8353ci,946.487
kyocera taskalfa 358ci,282.084
kyocera taskalfa 5501i,16.494
kyocera taskalfa 4501i,125.385
kyocera taskalfa 4551c,91.963
kyocera ecosys fs-2100dn,40.383
kyocera ecosys fs-4100dn,65.107
kyocera taskalfa 8001i,716.824
kyocera taskalfa 6551ci,614.663
kyocera taskalfa 3010i,347.650
kyocera taskalfa 3510i,18.701
kyocera ecosys p2035d,80.904
kyocera ecosys m6026cidn,171.738
kyocera ecosys m3040idn,66.009
kyocera ecosys m3560idn,129.553
kyocera ecosys p7040,226.080
kyocera taskalfa 2552ci,577.319
kyocera taskalfa 3252ci,203.871
kyocera taskalfa 3011i,147.566
kyocera taskalfa 3511i,328.058
kyocera taskalfa 6052ci,151.713
kyocera ecosys m5521,32.153
kyocera ecosys m5526,144.218
kyocera ecosys p5021,109.204
kyocera ecosys m2640,35.441
kyocera ecosys p3045,62.499
kyocera ecosys p3050,64.471
kyocera ecosys p3055,44.577
kyocera ecosys p3060,93.328
kyocera taskalfa 7002i,270.920
kyocera taskalfa 8002i,735.698
kyocera taskalfa 3212i,11.706
kyocera taskalfa 4012i,295.817
kyocera taskalfa 307ci,45.240
kyocera ecosys m3660,135.768
kyocera taskalfa 9002i,464.762
kyocera taskalfa 2553ci,198.293
kyocera taskalfa 6003i,234.328
kyocera taskalfa 4003i,278.059
kyocera taskalfa 7003i,375.616
kyocera taskalfa 8003i,25.112
kyocera taskalfa 9003i,344.533
kyocera taskalfa 308ci,50.335
kyocera ecosys fs-4200dn,96.837
kyocera taskalfa 4550ci,592.096
kyocera taskalfa 3501i,469.726
kyocera taskalfa 3051ci,479.914
kyocera taskalfa 3551ci,602.106
kyocera taskalfa 5551ci,314.818
kyocera ecosys fs-4300dn,90.283
ricoh aficio mp 301sp,167.592
savin mp 301sp,58.602
savin mp 301spf,7.626
lanier mp 301spf,66.772
ricoh aficio mp 301spf,17.456
savin mp c6003sp,169.199
savin mp c6003spg,215.061
savin mp c2003spg,289.520
savin mp c2503spg,319.093
savin mp 2553sp,10.367
savin mp c3003spg,178.622
savin mp 3053sp,318.397
savin mp 3353sp,335.410
savin mp c3503spg,142.572
savin mp c4503spg,368.731
savin mp 5002,551.196
savin mp 5002g,464.109
lanier mp 5002,323.843
ricoh aficio mp 5002,193.563
savin pro c5100s,239.065
lanier pro c5100s,1075.840
savin pro 8100s,1076.649
ricoh pro c7100s qx100,1505.606
ricoh pro c7100x pro80,434.337
ricoh pro c7100sx pro80,794.047
ricoh pro c7100s,1787.056
ricoh pro c7100s pro80,2454.815
savin pro c7100s pro80,2181.715
lanier pro c7100s pro80,756.041
ricoh pro c9100 pro80,4025.961
ricoh pro c5100s,934.046
ricoh pro c5110s,717.234
ricoh pro 8100se,1219.264
savin mp c5503spg,256.486
savin mp c305sp,247.041
savin mp c305spf,257.038
lanier mp c305spf,185.779
ricoh aficio mp c305sp,213.060
ricoh aficio mp c305spf,123.795
savin mp 2501sp,126.446
lanier mp 2501sp,54.572
ricoh mp 2501sp,121.277
savin mp 7502,250.841
lanier mp 7502,985.844
ricoh aficio mp 7502,1105.674
savin mp 2554sp,262.602
savin mp 2554spg,143.106
savin mp 3554sp,126.086
savin mp 3554spg,166.721
ricoh mp 3554,259.233
ricoh sp 4510dn,7.229
savin sp 4510dn,87.113
lanier sp 4510dn,1.469
savin mp 3054spg,327.177
ricoh mp 3054,121.340
ricoh sp 4520dn,0.353
savin sp 4520dn,2.250
lanier sp 4520dn,3.014
savin mp 4054sp,231.702
savin mp 4054spg,31.597
ricoh mp 4054,211.601
savin mp 5054sp,93.563
savin mp 5054spg,202.711
ricoh mp 5054,277.475
savin mp 6054sp,281.856
ricoh mp 6054spg,359.256
savin mp 6054spg,277.333
lanier mp 6054spg,88.653
ricoh mp 6054,130.085
ricoh sp 6430dn,73.600
savin sp6430dn,28.619
lanier sp 6430dn,62.032
ricoh mp 9003sp,42.069
ricoh aficio mp 9002,897.625
ricoh mp c2004exsp,113.147
ricoh mp c2004exspg,15.903
ricoh pro c7200 with totalflow print server r-62a,1438.867
ricoh pro c7200e,1466.101
ricoh pro c7200e with totalflow print server r-62a,1861.374
ricoh pro c7200e with color controller e-85a,959.498
ricoh pro c7200x,556.770
ricoh pro c7200x with totalflow print server r-62,1087.690
ricoh pro c7200s with totalflow print server r-62,1485.187
ricoh pro c7200sx,2137.418
ricoh pro c7200sx with totalflow print server r-62a,2529.051
ricoh pro c7200sx with color controller e-85a,594.275
ricoh pro c7200sx with color controller e-45a,751.205
ricoh pro c7200sl with color controller e-35a,262.480
ricoh im c2500,259.204
ricoh im c3500,187.871
ricoh im c4500,98.129
ricoh aficio mp 4002,527.671
ricoh aficio mp 4002g,535.628
ricoh aficio mp 6002,1138.735
ricoh aficio sp 8300dn,149.919
ricoh aficio mp c3002,417.073
ricoh aficio mp c3002g,31.417
ricoh aficio sp c830dn,496.837
ricoh aficio mp c4502,346.025
ricoh aficio mp c4502g,496.937
ricoh aficio mp c4502a,598.364
ricoh aficio mp c3502,67.750
ricoh aficio mp c3502g,357.437
ricoh aficio mp c5502,131.710
ricoh aficio mp c5502g,348.518
ricoh aficio mp c5502a,681.387
ricoh mp 2553sp,24.119
ricoh mp 3053sp,180.906
ricoh mp 3353sp,233.133
ricoh mp c2003sp,16.690
ricoh mp c2503sp,159.461
ricoh mp c401sp,345.146
savin mp c401sp,20.726
lanier mp c401sp,369.786
ricoh mp c401srsp,108.367
savin mp c401srsp,79.168
lanier mp c401srsp,152.159
savin mp c2003sp,254.352
lanier mp c2003sp,234.671
savin mp c2503sp,127.831
lanier mp c2503sp,295.568
savin mp c3003sp,429.042
lanier mp c3003sp,331.632
savin mp c3503sp,13.572
lanier mp c3503sp,318.685
savin mp c4503sp,450.543
lanier mp c4503sp,192.424
savin mp c5503sp,277.192
lanier mp c5503sp,373.883
lanier mp c6003sp,276.662
savin sp c830dn,494.650
lanier sp c830dn,581.942
savin sp c831dn,548.618
lanier sp c831dn,396.879
ricoh mp c2003spg,393.305
lanier mp c2003spg,381.523
ricoh mp c2503spg,215.108
lanier mp c2503spg,43.092
lanier mp 2553sp,92.961
ricoh mp c3003spg,437.372
lanier mp c3003spg,165.155
lanier mp 3053sp,104.707
lanier mp 3353sp,150.698
ricoh mp c3503spg,0.647
lanier mp c3503spg,355.622
ricoh mp c4503spg,343.943
lanier mp c4503spg,193.918
lanier mp 5002g,295.277
savin pro c5110s,507.597
lanier pro c5110s,997.871
ricoh mp c5503spg,382.484
lanier mp c5503spg,338.542
ricoh mp c6003spg,220.404
lanier mp c6003spg,454.149
savin mp c6502sp,239.889
lanier mp c6502sp,749.952
savin mp c8002sp,201.313
lanier mp c8002sp,770.169
lanier pro 8100s,1438.660
savin pro 8110s,1664.328
lanier pro 8110s,1492.411
savin pro 8120s,621.757
lanier pro 8120s,1190.747
savin sp 8300dn,46.886
lanier sp 8300dn,378.911
lanier mp c305sp,196.316
lanier mp 301sp,134.842
savin mp 4002sp,353.692
lanier mp 4002sp,50.504
savin mp 4002spg,320.940
lanier mp 4002spg,509.942
savin mp 5002sp,472.795
lanier mp 5002sp,471.636
savin mp 5002spg,391.521
lanier mp 5002spg,310.606
savin mp 6002sp,831.665
lanier mp 6002sp,151.688
savin mp 7502sp,101.012
lanier mp 7502sp,724.970
savin mp 9002sp,78.716
lanier mp 9002sp,1052.944
savin sp c320dn,75.572
lanier sp c320dn,12.345
ricoh mp 2554sp,230.554
lanier mp 2554sp,186.401
ricoh mp 3054sp,208.481
savin mp 3054sp,281.555
lanier mp 3054sp,319.202
ricoh mp 3554sp,12.151
lanier mp 3554sp,198.592
ricoh sp 4510sf,54.444
savin sp 4510sf,128.497
lanier sp 4510sf,49.596
ricoh mp 2554spg,178.484
lanier mp 2554spg,154.331
ricoh mp 3054spg,107.113
lanier mp 3054spg,274.564
ricoh mp 3554spg,153.614
lanier mp 3554spg,276.003
ricoh mp 401spf,65.192
savin mp 401spf,125.734
lanier mp 401spf,18.823
savin pro c7100s qx100,830.340
lanier pro c7100s qx100,1709.297
savin pro c7100x pro80,644.377
lanier pro c7100x pro80,436.903
ricoh pro c7100x qx100,2441.863
savin pro c7100x qx100,2767.060
lanier pro c7100x qx100,1101.345
savin pro c7100sx pro80,1821.069
lanier pro c7100sx pro80,178.201
ricoh pro c7100sx qx100,2324.861
savin pro c7100sx qx100,1480.746
lanier pro c7100sx qx100,2057.242
ricoh pro c7110x pro80,2192.965
savin pro c7110x pro80,1329.517
lanier pro c7110x pro80,1254.183
ricoh pro c7110x qx100,1411.976
savin pro c7110x qx100,2603.007
lanier pro c7110x qx100,2039.419
ricoh pro c7110sx pro80,1043.406
savin pro c7110sx pro80,1868.713
lanier pro c7110sx pro80,2300.346
ricoh pro c7110sx qx100,831.076
savin pro c7110sx qx100,761.595
lanier pro c7110sx qx100,2370.556
ricoh mp 4054sp,284.531
lanier mp 4054sp,109.618
ricoh mp 4054spg,243.050
lanier mp 4054spg,16.134
ricoh mp 5054sp,244.669
lanier mp 5054sp,21.542
ricoh mp 5054spg,94.642
lanier mp 5054spg,247.607
ricoh mp 6054sp,183.060
lanier mp 6054sp,198.698
ricoh sp 3600dn,33.806
savin sp 3600dn,87.185
lanier sp 3600dn,65.817
ricoh sp 3600sf,2.459
savin sp 3600sf,101.169
lanier sp 3600sf,99.587
ricoh sp 3610sf,61.031
savin sp 3610sf,25.420
lanier sp 3610sf,26.334
ricoh pro c7100,1864.827
savin pro c7100,177.334
lanier pro c7100,1069.774
savin pro c7100s,1051.184
lanier pro c7100s,789.419
ricoh pro c7100x,2376.436
savin pro c7100x,2063.256
lanier pro c7100x,2213.632
ricoh pro c7100sx,182.264
savin pro c7100sx,49.390
lanier pro c7100sx,2115.064
ricoh pro c7110,1011.087
savin pro c7110,2158.719
lanier pro c7110,853.193
ricoh pro c7110s,1793.396
savin pro c7110s,2319.924
lanier pro c7110s,1952.997
ricoh pro c7110x,1566.696
savin pro c7110x,744.716
lanier pro c7110x,849.937
ricoh pro c7110sx,22.242
savin pro c7110sx,2681.693
lanier pro c7110sx,1083.168
ricoh pro c7100 pro80,1105.679
savin pro c7100 pro80,1744.735
